codigo;razao_10mais_40menos_2000;razao_20mais_40menos_2000;indigentes_2000;pobres_2000;idhm_renda_2003;idhm_edu_2003
2920601;20,537;14,947;51,507;78,974;0,51;0,695
2920700;40,916;23,814;60,737;88,853;0,534;0,58
2920809;41,535;26,284;64,32;83,397;0,508;0,714
2920908;19,699;14,013;56,538;82,856;0,489;0,688
2921005;19,466;13,81;38,978;64,83;0,583;0,812
2921054;52,801;39,079;76,115;91,794;0,419;0,668
2921104;32,242;20,415;40,847;68,54;0,599;0,728
2921203;17,789;12,684;56,184;83,569;0,521;0,764
2921302;17,976;12,104;44,435;76,165;0,542;0,753
2921401;13,557;10,291;63,944;86,891;0,463;0,736
2921450;14,588;10,995;63,67;91,509;0,447;0,593
2921500;51,373;37,43;73,876;90,244;0,417;0,598
2921609;103,847;67,192;66,866;85,969;0,504;0,713
2921708;28,498;18,2;51,061;76,747;0,552;0,719
2921807;36,565;25,398;60,426;81,4;0,519;0,718
2921906;12,38;9,435;44,796;74,739;0,504;0,665
2922003;23,703;15,658;27,387;62,833;0,636;0,792
2922052;33,081;23,099;73,119;90,633;0,432;0,735
2922102;19,02;13,343;61,635;81,993;0,518;0,727
2922201;15,213;10,11;50,261;82,505;0,521;0,739
2922250;25,637;17,924;61,615;84,637;0,491;0,701
2922300;15,71;10,799;37,289;68,969;0,567;0,785
2922409;45,314;25,804;49,045;79,509;0,631;0,712
2922508;22,547;15,871;45,688;70,954;0,554;0,785
2922607;15,459;11,133;58,572;81,631;0,488;0,717
2922656;12,244;9,05;69,104;90,342;0,453;0,675
2922706;13,558;9,554;53,012;82,924;0,508;0,668
2922730;15,961;10,431;37,549;73,575;0,559;0,75
2922755;11,195;7,878;49,146;84,209;0,504;0,712
2922805;20,497;14,432;59,889;89,186;0,489;0,668
2922854;27,787;19,305;59,149;84,097;0,493;0,664
2922904;28,757;19,982;68,084;85,458;0,489;0,67
2923001;28,937;18,649;42,947;70,487;0,58;0,748
2923035;31,34;21,176;56,051;78,767;0,539;0,72
2923050;13,536;10,32;64,954;85,36;0,461;0,719
2923100;17,238;11,484;55,38;85,208;0,517;0,69
